"state","pop2016","lon","lat"
" Alabama",4863300,-86.902298,32.3182314
" Alaska",741894,-149.870464,61.1789309
" Arizona",6931071,-111.0937311,34.0489281
"Arkansas",2988248,-91.8318334,35.20105
"California",39250017,-119.4179324,36.778261
"Colorado",5540545,-105.7820674,39.5500507
"Connecticut",3576452,-73.087749,41.6032207
"Delaware",952065,-75.5276699,38.9108325
"District of Columbia",681170,-77.0368707,38.9071923
"Florida",20612439,-81.5157535,27.6648274
"Georgia",10310371,-82.9000751,32.1656221
"Hawaii",1428557,-155.5827818,19.8967662
"Idaho",1683140,-114.7420408,44.0682019
"Illinois",12801539,-89.3985283,40.6331249
"Indiana",6633053,-86.1349019,40.2671941
"Iowa",3134693,-93.097702,41.8780025
"Kansas",2907289,-98.4842465,39.011902
"Kentucky",4436974,-85.001116,37.531427
"Louisiana",4681666,-91.9623327,30.9842977
"Maine",1331479,-69.4454689,45.253783
"Maryland",6016447,-76.6412712,39.0457549
"Massachusetts",6811779,-71.3824374,42.4072107
"Michigan",9928300,-85.6023643,44.3148443
"Minnesota",5519952,-94.6858998,46.729553
"Mississippi",2988726,-89.3985283,32.3546679
"Missouri",6093000,-91.8318334,37.9642529
"Montana",1042520,-110.3625658,46.8796822
"Nebraska",1907116,-99.9018131,41.4925374
"Nevada",2940058,-116.419389,38.8026097
"New Hampshire",1334795,-71.5723953,43.1938516
"New Jersey",8944469,-74.4056612,40.0583238
"New Mexico",2081015,-105.8700901,34.5199402
"New York",19745289,-74.0059413,40.7127837
"North Carolina",10146788,-79.0192997,35.7595731
"North Dakota",757952,-101.0020119,47.5514926
"Ohio",11614373,-82.907123,40.4172871
"Oklahoma",3923561,-97.092877,35.0077519
"Oregon",4093465,-120.5542012,43.8041334
"Pennsylvania",12784227,-77.1945247,41.2033216
"Rhode Island",1056426,-71.4774291,41.5800945
"South Carolina",4961119,-81.1637245,33.836081
"South Dakota",865454,-99.9018131,43.9695148
"Tennessee",6651194,-86.5804473,35.5174913
"Texas",27862596,-99.9018131,31.9685988
"Utah",3051217,-111.49392,39.308401
"Vermont",624594,-72.5778415,44.5588028
"Virginia",8411808,-78.6568942,37.4315734
"Washington",7288000,-120.7401385,47.7510741
"West Virginia",1831102,-80.4549026,38.5976262
"Wisconsin",5778708,-88.7878678,43.7844397
"Wyoming",585501,-107.2902839,43.0759678
